Number	Player	Team	 Purchased 	 Paid 
293	Ray Moore	Chicago White Sox	 TRUE 	$1.50
294	Hank Foiles	Pittsburgh Pirates	 TRUE 	$3.43
295	Billy Martin	Cleveland Indians	 TRUE 	$16.38
296	Ernie Broglio	St. Louis Cardinals	 TRUE 	$3.00
297	Jackie Brandt	San Francisco Giants	 TRUE 	$3.50
298	Tex Clevenger	Washington Senators	 TRUE 	$5.83
299	Billy Klaus	Baltimore Orioles 	 FALSE 	
300	Richie Ashburn	Philadelphia Phillies	 FALSE 	
301	Earl Averill Jr.	Chicago Cubs	 TRUE 	$2.25
302	Don Mossi	Detroit Tigers 	 TRUE 	$3.98
303	Marty Keough	Boston Red Sox	 FALSE 	
304	Chicago Cubs (1903-)	Chicago Cubs	 TRUE 	$4.24
305	Curt Raydon	Pittsburgh Pirates	 TRUE 	$1.51
306	Jim Gilliam	Los Angeles Dodgers	 TRUE 	$4.16
307	Curt Barclay	San Francisco Giants	 FALSE 	
308	Norm Siebern	New York Yankees	 FALSE 	
309	Sal Maglie	St. Louis Cardinals	 FALSE 	
310	Luis Aparicio	Chicago White Sox	 TRUE 	$37.09
311	Norm Zauchin	Washington Senators	 FALSE 	
312	Don Newcombe	Cincinnati Redlegs	 FALSE 	
313	Frank House	Kansas City Athletics	 TRUE 	$1.51
314	Don Cardwell	Philadelphia Phillies	 TRUE 	$1.51
315	Joe Adcock	Milwaukee Braves	 TRUE 	$1.93
316	Ralph Lumenti	Washington Senators	 TRUE 	$4.18
317	Ashburn and Mays	Philadelphia Phillies	 FALSE 	
318	Rocky Bridges	Detroit Tigers 	 FALSE 	
319	Dave Hillman	Chicago Cubs	 FALSE 	
320	Bob Skinner	Pittsburgh Pirates	 FALSE 	
321	Bob Giallombardo	Los Angeles Dodgers	 TRUE 	$1.51
322	Harry Hanebrink	Milwaukee Braves	 FALSE 	
323	Frank Sullivan	Boston Red Sox	 FALSE 	
324	Don Demeter	Los Angeles Dodgers	 TRUE 	$4.23
325	Ken Boyer	St. Louis Cardinals	 TRUE 	$3.00
326	Marv Throneberry	New York Yankees	 TRUE 	$5.11
327	Gary Bell	Cleveland Indians	 FALSE 	
328	Lou Skizas	Chicago White Sox	 TRUE 	$1.00
329	Detroit Tigers (1901-)	Detroit Tigers 	 TRUE 	$4.23
330	Gus Triandos	Baltimore Orioles 	 FALSE 	
331	Steve Boros	Detroit Tigers 	 TRUE 	$3.91
332	Ray Monzant	San Francisco Giants	 FALSE 	
333	Harry Simpson	Kansas City Athletics	 FALSE 	
334	Glen Hobbie	Chicago Cubs	 TRUE 	$4.49
335	Johnny Temple	Cincinnati Redlegs	 TRUE 	$5.83
336A	Billy Loes	Baltimore Orioles 	 FALSE 	
337	George Crowe	St. Louis Cardinals	 TRUE 	$3.71
338	Sparky Anderson	Philadelphia Phillies	 TRUE 	$27.56
339	Roy Face	Pittsburgh Pirates	 FALSE 	
340	Roy Sievers	Washington Senators	 TRUE 	$2.11
341	Tom Qualters	Chicago White Sox	 TRUE 	$1.91
342	Ray Jablonski	San Francisco Giants	 FALSE 	
343	Billy Hoeft	Detroit Tigers 	 TRUE 	$1.93
344	Russ Nixon	Cleveland Indians	 FALSE 	
345	Gil McDougald	New York Yankees	 FALSE 	
346	Brewer and Sisler	Boston Red Sox	 TRUE 	$7.46
347	Bob Buhl	Milwaukee Braves	 FALSE 	
348	Ted Lepcio	Boston Red Sox	 TRUE 	$5.30
349	Hoyt Wilhelm	Baltimore Orioles 	 TRUE 	$14.63
350	Ernie Banks	Chicago Cubs	 TRUE 	$50.00
351	Earl Torgeson	Chicago White Sox	 TRUE 	$4.17
352	Robin Roberts	Philadelphia Phillies	 FALSE 	
353	Curt Flood	St. Louis Cardinals	 FALSE 	
354	Pete Burnside	Detroit Tigers 	 TRUE 	$4.17
355	Jim Piersall	Cleveland Indians	 TRUE 	$3.00
356	Bob Mabe	Cincinnati Redlegs	 FALSE 	
357	Dick Stuart	Pittsburgh Pirates	 FALSE 	
358	Ralph Terry	Kansas City Athletics	 FALSE 	
359	Bill White	San Francisco Giants	 FALSE 	
360	Al Kaline	Detroit Tigers 	 TRUE 	$28.99
361	Willard Nixon	Boston Red Sox	 TRUE 	$1.51
362A	Dolan Nichols	Chicago Cubs	 TRUE 	$1.51
363	Bobby Avila	Baltimore Orioles 	 FALSE 	
364	Danny McDevitt	Los Angeles Dodgers	 FALSE 	
365	Gus Bell	Cincinnati Redlegs	 TRUE 	$3.10
366	Humberto Robinson	Milwaukee Braves	 TRUE 	$1.87
